Reference ID,Language,Pic Map Name,Full Path,Hash Value
61,Czech,ChooseLanguage,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Choose Language.png,d27763d684676cae029bd69e4ac2b20b
62,Czech,DataTransmission,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Data Transmission.png,8a1ee8a3508c7f5c57ad4a45ca8588dd
63,Czech,ErrorScreendisabled1reference,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Error Screen – disabled1 reference.png,f5d9b613d711638dc2fed4c801780c77
64,Czech,ErrorScreenenabled,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Error Screen – enabled.png,d19ea6b4efa7ef6f1c6c2d2588fa560c
65,Czech,HandHeldSelection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Hand-Held Selection.png,f3d4dae8d1797f299be5912f69dcb199
66,Czech,InformationSent,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Information Sent.png,5ad3e8e75674e5c81e84efc60493af7d
67,Czech,Interrogation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Interrogation.png,c27416ef7a5d6ea97960c86a235c4f3e
68,Czech,Language214,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 214.png,7e558d4a71a8588ed45f632bad6e4baf
69,Czech,Language215,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 215.png,4456494853e0f0c64e1bc911af8579a7
70,Czech,Language218,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 218.png,a79a9b75a8fc6b09619e677b250ef963
71,Czech,Language220,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 220.png,9e979c05c281ad600459fd0ca5e6fe3f
72,Czech,Language221,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 221.png,7d6f3da2f01ee19f7312a2ecc68d5cd5
73,Czech,Language222,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 222.png,93fde668a51ff542a707471ff840c813
74,Czech,Language223,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 223.png,e972affccfd34211d5a14ff458bdf251
75,Czech,Language224,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Language – 224.png,d2ab494c7f8befd6f2103cd6f461e69b
76,Czech,LoadingScreenEnglish,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Loading Screen - English.png,fb332f6615671d9bd28203c5caeb1d8b
77,Czech,LowBattery,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Low Battery.png,6de59e3f90202ecb71247794cf8c7804
78,Czech,Power,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Power.png,6812f51e9c5c34ef678999f5aeccb533
79,Czech,ProfileDownload,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Profile Download.png,d68937ba6ed4adb2c03d9a6c2bceae0f
80,Czech,SelectedLanguage,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Selected Language.png,13b69218988c2906536bfa157bb7a876
81,Czech,Selection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Selection.png,6253a9621c34ad9562c7255056d889c7
82,Czech,ShutDownTransition_OUS,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Shut Down Transition_OUS.png,acd10b472dd960dea246c8ed0b8e7702
83,Czech,StartSession,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Start - Session.png,965d61c80698c450156516aeb8d161cd
84,Czech,StartSetup,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Start - Setup.png,31d013a28fb8c592c7e3a40f0e924b20
85,Czech,StartDisabled1,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Start Disabled-1.png,2d867c08962f44adbb7325e14af70070
86,Czech,StartDisabled,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Start Disabled.png,209b9a5075017deb23b6452c102caf6b
87,Czech,"StrapWire1,2,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 1,2,3.png",56aab5fa70b5b4d2b5b76955c7bc2e79
88,Czech,"StrapWire1,2","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 1,2.png",9838f0df972c940f866da3777f2d893b
89,Czech,"StrapWire1,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 1,3.png",75a2083258b94f1ba3e62ea1066a67fe
90,Czech,"StrapWire2,3","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 2,3.png",84e1b9c63eee790321b13936216dfb32
91,Czech,StrapWire7,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 7.png,3a9ce593ea740683de5602cf64b2289c
92,Czech,StrapWire8,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 8.png,441e29c062ae929f7d6e4bf51dc4e4d7
93,Czech,StrapWire9,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Strap & Wire 9.png,1a1fb80e4926e0f05fc9a497cce01547
94,Czech,SuccessBatteryRec,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Success Battery Rec.png,f20479028f0c6fbf295c330ccb735c7a
95,Czech,SuccessScreen36,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Success Screen – 36.png,22f3e726bc97dba87cae71691bb0fa09
96,Czech,SuccessScreenbutton,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Success Screen – button.png,a3257b4e9d205108533a486bfe794f13
97,Czech,TransitionScreen,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Transition Screen.png,9d6fe4999eb1c7f3f7eee6f96fb46d55
98,Czech,UIInstallation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\UI Installation.png,1d190c463dc53c486bf5f0a0385de176
99,Czech,UpdateScreen,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Update Screen.png,8610a922aa693dd9b001d38634624362
100,Czech,WireInterrogation,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Wire Interrogation.png,334821fb9c141c484edf7fa013af2f43
101,Czech,WireSelection,C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Czech\Wire Selection.png,68115c7a26663b9b850e0b6fcccb4944
102,Dutch,"AdjustContactL,T","C:\Users\tdc123admin\Downloads\Test Evidence-20260224T082351Z-1-001\Test Evidence\Dev Phase\UI Check\6.2.0\_Reference\Translations_screens(02-19-2026)\Dutch\Adjust Contact – L,T.png",553ae5a6ca3fdd9785b4d8f85bad3fa2
